channel,dense_block_fraction_0.080_mean,dense_block_fraction_0.080_median,dense_block_fraction_0.080_std,dense_block_fraction_0.200_mean,dense_block_fraction_0.200_median,dense_block_fraction_0.200_std,max_block_density_0.080_mean,max_block_density_0.080_median,max_block_density_0.080_std,max_block_density_0.200_mean,max_block_density_0.200_median,max_block_density_0.200_std,max_mean,max_median,max_std,mean_block_density_0.080_mean,mean_block_density_0.080_median,mean_block_density_0.080_std,mean_block_density_0.200_mean,mean_block_density_0.200_median,mean_block_density_0.200_std,mean_intensity_per_pixel_mean,mean_intensity_per_pixel_median,mean_intensity_per_pixel_std,mean_mean,mean_median,mean_std,median_mean,median_median,median_std,p99_mean,p99_median,p99_std,pos_fraction_0.080_mean,pos_fraction_0.080_median,pos_fraction_0.080_std,pos_fraction_0.200_mean,pos_fraction_0.200_median,pos_fraction_0.200_std,pos_mean_0.080_mean,pos_mean_0.080_median,pos_mean_0.080_std,pos_mean_0.200_mean,pos_mean_0.200_median,pos_mean_0.200_std,pos_p95_0.080_mean,pos_p95_0.080_median,pos_p95_0.080_std,pos_p95_0.200_mean,pos_p95_0.200_median,pos_p95_0.200_std,speckle_index_mean,speckle_index_median,speckle_index_std,speckle_score_mean,speckle_score_median,speckle_score_std,std_mean,std_median,std_std,total_intensity_mean,total_intensity_median,total_intensity_std
0,0.139575731044279,0.108642578125,0.1195587662923583,0.011162354280956114,0.001708984375,0.02688274302203178,0.9107379016457681,1.0,0.21441323620471758,0.5749106093260188,0.583984375,0.28565107318434657,0.5058845051368669,0.5132066607475281,0.13575938493494563,0.12270948879397402,0.10111212730407715,0.0897827821122357,0.019008149173939864,0.010305643081665039,0.02638758698234396,0.027521074991118524,0.024808581918478012,0.016719226575717793,0.027521074991118524,0.024808581918478012,0.016719226575717793,0.007514661799847706,0.0053864349611103535,0.006701391136575168,0.19739706893407719,0.20093080401420593,0.07255436348822333,0.12270948879397402,0.10111212730407715,0.0897827821122357,0.019008149173939864,0.010305643081665039,0.02638758698234396,0.1387809841049876,0.14036616683006287,0.028021502479502164,0.23449367532348933,0.24179638922214508,0.052252625654901935,0.23128157996552118,0.23327992856502533,0.05948980354931609,0.3175455535467142,0.3239108920097351,0.07969671270029104,3551.4904892591367,1.328439115172299,19119.26770803039,0.12158320092681293,0.12189261718770873,0.024112393396368774,0.04456888525863543,0.04391432926058769,0.019139220054726156,115431.75491954839,104054.734375,70125.51890343944
1,0.010888365742554858,0.0,0.03521591815019382,0.00019133277821316614,0.0,0.002599749020426435,0.42372403996865204,0.275390625,0.36466937071853867,0.058881514498432604,0.0009765625,0.17734555088695,0.24940010319028902,0.2070649266242981,0.14886786055863202,0.011092618715053067,0.0005600452423095703,0.03148299226080216,0.00021437118793356008,2.384185791015625e-07,0.0023727856301915392,0.014317334829581476,0.012667277827858925,0.007604255125779424,0.014317334829581476,0.012667277827858925,0.007604255125779424,0.009893251493935207,0.008789196610450745,0.007047969219717378,0.06157756760296029,0.05085831880569458,0.035167309054066266,0.011092618715053067,0.0005600452423095703,0.03148299226080216,0.00021437118793356008,2.384185791015625e-07,0.0023727856301915392,0.09967306711737264,0.09363651275634766,0.022769830827243133,0.13471111949521547,0.2051117718219757,0.13360536235332446,0.1359069941325995,0.11967650800943375,0.06296182572735,0.16639251124148832,0.2069169133901596,0.18164791142111966,53830.39866699916,85215.87563848495,52705.814785121685,0.09936399316398324,0.09426079684059803,0.022027066378253333,0.013924577990167287,0.011716583743691444,0.008143599585799782,60051.2547450529,53130.4140625,31894.55769107714
2,0.0004393000587774295,0.0,0.001464407438289571,5.357317789968652e-05,0.0,0.0002875873593192626,0.2586604868730408,0.1806640625,0.25923319419484525,0.11584051724137931,0.0498046875,0.17031689939859973,0.5120458969624485,0.5090409517288208,0.32387181011140714,0.0010421156509542913,0.0002193450927734375,0.0023899083119831035,0.00021358492979809033,2.8133392333984375e-05,0.0005164703910356204,0.003947014593063828,0.0033378174994140863,0.001714622426650779,0.003947014593063828,0.0033378174994140863,0.001714622426650779,0.0033838196619644435,0.0031433585099875927,0.0008420859888921314,0.015146851471003413,0.008392462506890297,0.017219858492298477,0.0010421156509542913,0.0002193450927734375,0.0023899083119831035,0.00021358492979809033,2.8133392333984375e-05,0.0005164703910356204,0.1280799218713303,0.13494624197483063,0.05676079689144284,0.22823383698829663,0.27303221821784973,0.13443539416945466,0.2664455923027006,0.25964289903640747,0.16115481372453738,0.3708009072418871,0.4004104733467102,0.2545565059896113,80117.86966915795,106944.33910942078,69040.38925410005,0.1289098354083229,0.1359274105390102,0.05664013559738972,0.005014196580544488,0.0033119567669928074,0.004988271589345151,16554.979095745985,13999.8212890625,7191.647702591069
3,0.0008839574353448276,0.0,0.0033631663957131145,2.525592672413793e-05,0.0,9.429425959579155e-05,0.29237791438087773,0.2490234375,0.25310728380707587,0.10852701312695925,0.0654296875,0.12669085735638835,0.5422341743904548,0.5180743336677551,0.33365127584819915,0.0020837813709223157,0.00042128562927246094,0.006194567579827117,0.0002463925221123292,4.0531158447265625e-05,0.0007679540633589543,0.003923552797605112,0.0032681089360266924,0.0023307793913146424,0.003923552797605112,0.0032681089360266924,0.0023307793913146424,0.003122885592521218,0.0030518043786287308,0.0006378512641950444,0.02371232875047666,0.015335316769778728,0.02600311153389749,0.0020837813709223157,0.00042128562927246094,0.006194567579827117,0.0002463925221123292,4.0531158447265625e-05,0.0007679540633589543,0.11999220856491674,0.12683643400669098,0.047926577961561564,0.2304146606533505,0.2693122625350952,0.1315654793471828,0.2386523026003733,0.23552608489990234,0.13395979749182632,0.38725772612147197,0.4096192419528961,0.2606385389573255,67951.23742461014,91801.18305778503,66735.87113415744,0.1207052090411366,0.12751577001345119,0.04782354856041982,0.006051361985518495,0.004435002338141203,0.005641693250130982,16456.57319320631,13707.4423828125,9775.99732410857
4,0.0005051185344827587,0.0,0.006636818676628789,0.0,0.0,0.0,0.1375269396551724,0.091796875,0.1502051167507192,0.009349284874608151,0.0,0.023368519889969436,0.19292435802075555,0.18168917298316956,0.10804916598408058,0.001004698134514979,0.00011920928955078125,0.005176505731599399,2.8541469275017144e-05,0.0,0.0003266688379422411,0.003405643932865845,0.003037338377907872,0.001595869150406146,0.003405643932865845,0.003037338377907872,0.001595869150406146,0.0029066284179839314,0.0029755092691630125,0.0002693922029900136,0.018935920056802304,0.011474784463644028,0.0205001267968909,0.001004698134514979,0.00011920928955078125,0.005176505731599399,2.8541469275017144e-05,0.0,0.0003266688379422411,0.08630621949426806,0.09822089225053787,0.03359144420607601,0.09851131146791213,0.0,0.11273098565215625,0.1184019730149018,0.13368429243564606,0.05210481905073172,0.11526558368370451,0.0,0.13513717978111675,77901.41229236854,96628.74950265884,39966.79932419629,0.08719421329485255,0.09917171790613805,0.03351383113880384,0.004013524341764115,0.003016034374013543,0.003762961813521131,14284.305970194946,12739.5205078125,6693.5603610251
5,3.8266555642633225e-06,0.0,4.9136403186454626e-05,1.530662225705329e-06,0.0,2.729561756117599e-05,0.006425720023510972,0.0,0.050461444646404646,0.0027827439263322885,0.0,0.03016836913222576,0.04102227787653621,0.016464484855532646,0.07837205815382828,3.527698098305251e-06,0.0,3.542187956817775e-05,1.707794524285487e-06,0.0,2.2238419044058977e-05,0.0026919565373027354,0.002740758005529642,0.00026480568080142355,0.0026919565373027354,0.002740758005529642,0.00026480568080142355,0.002910455131938325,0.002944991225376725,0.00014512207246522135,0.003776392688519295,0.003524834057316184,0.0006202350951269692,3.527698098305251e-06,0.0,3.542187956817775e-05,1.707794524285487e-06,0.0,2.2238419044058977e-05,0.01705703314475505,0.0,0.05195655672567225,0.009833902260726522,0.0,0.05926073845724169,0.022869501928550695,0.0,0.07845652744292327,0.01185758748211457,0.0,0.07394660266336936,15140.838227076432,1.0,45302.84307525063,0.018055973095607383,0.001,0.051949359823626085,0.000784564773343375,0.0007110973238013685,0.0006952641964619231,11290.884072235012,11495.572265625,1110.675526208134
6,0.00010485036246081505,0.0,0.00029827890332969584,5.357317789968652e-06,0.0,6.241086353189629e-05,0.22582165948275862,0.201171875,0.14992424671197999,0.0313938822492163,0.0166015625,0.06128782500307302,0.2908156238799932,0.268970787525177,0.1426301651684556,0.001528430508221952,0.0007503032684326172,0.002020447902613839,3.243314808812635e-05,7.867813110351562e-06,8.03357115273361e-05,0.0047012552827725125,0.004391667898744345,0.0014366873280429037,0.0047012552827725125,0.004391667898744345,0.0014366873280429037,0.003193918973219152,0.0031586175318807364,0.00034323966519622445,0.03421412339962458,0.03341725841164589,0.017265570917866034,0.001528430508221952,0.0007503032684326172,0.002020447902613839,3.243314808812635e-05,7.867813110351562e-06,8.03357115273361e-05,0.10601743126177116,0.10376414656639099,0.03144981121917443,0.1764004811130721,0.22395485639572144,0.11725861581049091,0.16354493121835506,0.1523338407278061,0.08502738812341512,0.2241925551880116,0.2599313259124756,0.16778972184858987,82643.81947017628,100076.05863904953,49336.94972157262,0.1068516232628917,0.10449539218610712,0.03143370141295033,0.006707073691655767,0.006434694863855839,0.0031698299794452305,19718.49383755388,18419.990234375,6025.903406759663
7,8.41864224137931e-06,0.0,7.052682965265155e-05,3.8266555642633225e-06,0.0,4.9136403186454626e-05,0.012471835815047022,0.0,0.08151896121819503,0.005550181230407523,0.0,0.050466400531138954,0.038313921508860996,0.014862287789583206,0.10595123919967706,7.859591780037715e-06,0.0,5.949219739760981e-05,3.243688505645082e-06,0.0,3.445502358062522e-05,0.002426214569443866,0.0024567549116909504,0.0003923947942320072,0.002426214569443866,0.0024567549116909504,0.0003923947942320072,0.002747771954952176,0.0028534370940178633,0.000348160755974129,0.0038144206599008326,0.0036926832981407642,0.0005530082059102973,7.859591780037715e-06,0.0,5.949219739760981e-05,3.243688505645082e-06,0.0,3.445502358062522e-05,0.01227021051518222,0.0,0.05987680629113013,0.011543356092372285,0.0,0.07371110512290986,0.01927958487249841,0.0,0.10269491036726697,0.015490523746768509,0.0,0.10215024339829513,8169.00933928245,1.0,45823.59414689123,0.013267960591646484,0.001,0.05986149977795496,0.0011157914802729849,0.0010581505484879017,0.0010459872506948101,10176.281473476685,10304.376953125,1645.8230550264848
8,0.00031608174960815047,0.0,0.004395557969296923,3.8266555642633225e-06,0.0,4.9136403186454626e-05,0.09014988244514106,0.0146484375,0.16948259345846745,0.015220905172413793,0.0,0.053511927242301915,0.1744629028822561,0.11952392011880875,0.15609950616892132,0.00054068849378245,5.9604644775390625e-06,0.004228027237900829,1.634549945125759e-05,0.0,0.00014555095361639778,0.004555032327610614,0.004009705036878586,0.00211995880682215,0.004555032327610614,0.004009705036878586,0.00211995880682215,0.003433471271143438,0.0032501716632395983,0.0007679039949549689,0.019559961495494767,0.01570153422653675,0.01599750013556931,0.00054068849378245,5.9604644775390625e-06,0.004228027237900829,1.634549945125759e-05,0.0,0.00014555095361639778,0.07136881912016196,0.09127961844205856,0.05935854391612133,0.07700370663198931,0.0,0.11921363190012087,0.10540423292351367,0.10884871333837509,0.10264016019824132,0.0994090505154529,0.0,0.1612543491854018,63312.69042297951,87648.81802892685,58697.57026386485,0.07230859981549881,0.09227502019637719,0.05931803443987858,0.0038356041274986707,0.0029870395082980394,0.0033930632564642626,19105.190311826507,16817.921875,8891.75170328937
9,6.8879800156739816e-06,0.0,7.069273632662797e-05,1.530662225705329e-06,0.0,2.729561756117599e-05,0.06153568279780564,0.0302734375,0.08820849510602308,0.006667564655172414,0.0,0.027671723716906217,0.16729336263185665,0.14676126837730408,0.11616192482183071,0.00014626344543265698,1.6689300537109375e-05,0.00037308176471075857,4.598713220100044e-06,0.0,2.244125985513586e-05,0.003229146899194179,0.0031426544301211834,0.0004333814219878675,0.003229146899194179,0.0031426544301211834,0.0004333814219878675,0.003051134703686712,0.0030518043786287308,0.0001200444726726948,0.008587720202498114,0.005157549399882555,0.008261687826182005,0.00014626344543265698,1.6689300537109375e-05,0.00037308176471075857,4.598713220100044e-06,0.0,2.244125985513586e-05,0.077255052622396,0.09656672179698944,0.04915671611911078,0.07464072070899054,0.0,0.11098050953079269,0.1105761265960233,0.12509651482105255,0.078357148097197,0.0900062482371973,0.0,0.13879945345736447,75405.24231959008,96508.86221027374,48484.953437755146,0.07823890459933858,0.09756621003916752,0.04914505941925283,0.0019242167179064013,0.0013295443495735526,0.0016706251933511155,13544.023755877743,13181.248046875,1817.7334317694006
10,9.183973354231975e-05,0.0,0.0003963750245880259,4.591986677115988e-06,0.0,5.781163507794518e-05,0.1525733493338558,0.09375,0.17740851086823134,0.023697712578369907,0.0,0.07347426314849541,0.2464208631866778,0.17772182822227478,0.2042570880401447,0.0004853499720462811,8.96453857421875e-05,0.0010831392397635448,2.196589981126935e-05,0.0,8.266658771227159e-05,0.0036871009542779024,0.0035875439643859863,0.0007954495244768561,0.0036871009542779024,0.0035875439643859863,0.0007954495244768561,0.0031027953449905294,0.0030212863348424435,0.00042375648225704296,0.017092448473852537,0.013244831003248692,0.012102476601963999,0.0004853499720462811,8.96453857421875e-05,0.0010831392397635448,2.196589981126935e-05,0.0,8.266658771227159e-05,0.10313169317185691,0.1015992984175682,0.04398317925367829,0.1156548456899051,0.0,0.1431467867264682,0.1620092072223421,0.14060425758361816,0.1325180151584209,0.1555921744123148,0.0,0.21823698049628915,87583.23077995995,97643.04919338226,51190.17025627959,0.10407488206862034,0.10259858903177879,0.043961473353336035,0.003674989029200205,0.0029969876632094383,0.0024093692683701405,15464.822280931623,15047.25,3336.3571223113754
11,0.00033980701410658306,0.0,0.0029083083777359355,2.6021257836990596e-05,0.0,0.00027282953920451213,0.15840211108934169,0.076171875,0.19511800718771058,0.04067887931034483,0.005859375,0.0987947338154854,0.31618410571942507,0.251132994890213,0.19436208536731586,0.0006593865660664429,6.222724914550781e-05,0.0032982886095332896,8.589047996975412e-05,1.6689300537109375e-06,0.000597168853378286,0.003956789845676632,0.003729777643457055,0.0012243010692161136,0.003956789845676632,0.003729777643457055,0.0012243010692161136,0.0033404342976156446,0.0032959487289190292,0.0005195692480387918,0.016100372968761243,0.0119935916736722,0.016905020182530216,0.0006593865660664429,6.222724914550781e-05,0.0032982886095332896,8.589047996975412e-05,1.6689300537109375e-06,0.000597168853378286,0.12091678780354677,0.11367015540599823,0.03960490042131408,0.17751042642937184,0.22337108850479126,0.13037835780822693,0.20498463707657816,0.1796475052833557,0.10738369106905116,0.2381745143370195,0.24730297923088074,0.19617208610082287,101536.64482068607,106955.72359657288,52093.0908482776,0.1218247706174682,0.11465356574451271,0.03955679280423665,0.00362706068008379,0.0027007278986275196,0.0035437619455751606,16595.97947688088,15643.8212890625,5135.090871817422
12,2.0663940047021943e-05,0.0,0.0001489350863457375,6.122648902821316e-06,0.0,9.646208572077703e-05,0.054571169670846395,0.0087890625,0.11722674819598702,0.021218039772727272,0.0,0.0736398205842007,0.2690387505769356,0.11544975638389587,0.2999725843656392,4.9094047665969704e-05,2.6226043701171875e-06,0.00017286410092069268,1.714446327903054e-05,0.0,9.904377748645848e-05,0.0036327800644871118,0.0035512312315404415,0.0007043952716561021,0.0036327800644871118,0.0035512312315404415,0.0007043952716561021,0.003395060630556091,0.0033722438383847475,0.0004344740996343074,0.008531658892697863,0.007186999544501305,0.004494189683310742,4.9094047665969704e-05,2.6226043701171875e-06,0.00017286410092069268,1.714446327903054e-05,0.0,9.904377748645848e-05,0.11792713181819288,0.09429135918617249,0.11977470006075279,0.1287929867408866,0.0,0.19465985219939638,0.21640337144132693,0.11278706043958664,0.2676403265295535,0.19633646692415016,0.0,0.31182722714569844,110259.65938298346,92424.4464764595,118011.55336537657,0.11891538463423,0.09529076848618058,0.11975623236834701,0.0020955552715227173,0.0014609673526138067,0.0020118008986983638,15236.98395559855,14894.943359375,2954.447905488276
13,0.010961837529388715,0.0009765625,0.02940095624613032,0.0007247685638714734,0.0,0.0026030390686212286,0.57934034580721,0.5966796875,0.3216226106120516,0.24674275078369906,0.1484375,0.2632363259416957,0.631232011701246,0.6743724942207336,0.2689265519774719,0.011966906371161481,0.0024263858795166016,0.026696407199395804,0.0013368735119093174,0.000141143798828125,0.00421970718592109,0.013267969843992805,0.011825375258922577,0.006969063768317646,0.013267969843992805,0.011825375258922577,0.006969063768317646,0.00948718933937458,0.008880751207470894,0.005509424041123732,0.06589854958826284,0.048630502074956894,0.05157645092560135,0.011966906371161481,0.0024263858795166016,0.026696407199395804,0.0013368735119093174,0.000141143798828125,0.00421970718592109,0.12577697282020575,0.12054431438446045,0.02589715781421796,0.26620853946874135,0.2707371115684509,0.07725971182091407,0.23913048408621904,0.21812385320663452,0.09621686092162836,0.4309326027254326,0.4123658835887909,0.18259108640694613,36558.184197974566,142.629098146851,54443.00714404839,0.12514933859730012,0.1207611689719455,0.02535482956010597,0.01521483511477125,0.012085595168173313,0.01056349705240526,55649.8989885384,49599.21875,29230.372039709775
14,1.3010628918495298e-05,0.0,9.07683990451302e-05,0.0,0.0,0.0,0.10079104623824452,0.0771484375,0.10496504961870783,0.02626616379310345,0.0,0.050486554450122546,0.22656136513527098,0.18420691788196564,0.166996424099212,0.000220974410962909,4.863739013671875e-05,0.000500795507032424,2.5575811212713067e-05,0.0,8.681911505341353e-05,0.00311431830433609,0.003069348866119981,0.0004043302845057286,0.00311431830433609,0.003069348866119981,0.0004043302845057286,0.0029629289470379442,0.0029755092691630125,0.00018982179184550343,0.007951911715469483,0.006759746931493282,0.004205781775707631,0.000220974410962909,4.863739013671875e-05,0.000500795507032424,2.5575811212713067e-05,0.0,8.681911505341353e-05,0.0970305049774415,0.1045866310596466,0.06674337789053439,0.12182320383462039,0.0,0.1389095976793479,0.1608054597269405,0.14434422552585602,0.13341000721512183,0.15685227849640443,0.0,0.18545318587703438,92042.33205763882,102582.76922798157,67495.23211522184,0.09800066410497482,0.10558124386333305,0.06672336277587473,0.002509384440129687,0.001906438497826457,0.0016599716715952066,13062.397721150079,12873.7822265625,1695.8841296235155
15,0.0006941553193573667,0.0,0.007146706845089972,0.0001469435736677116,0.0,0.001941343492964001,0.1363207778213166,0.09375,0.1798960068059866,0.03068671630094044,0.0,0.12505069133333455,0.21935838902351626,0.16617074608802795,0.17243808382343484,0.0008362475607462437,6.079673767089844e-05,0.006221707089171234,0.00015210283213648303,0.0,0.0017935699478458882,0.003968381115635361,0.003433915553614497,0.0020941266875783696,0.003968381115635361,0.003433915553614497,0.0020941266875783696,0.0033257014408625872,0.0031891355756670237,0.0006791325949327013,0.016050147282420935,0.008682383224368095,0.025563901513107876,0.0008362475607462437,6.079673767089844e-05,0.006221707089171234,0.00015210283213648303,0.0,0.0017935699478458882,0.09453691918181027,0.10107069462537766,0.04806570340879108,0.10473076153698387,0.0,0.1361908526489912,0.14862055646775285,0.13941553235054016,0.11142320975439546,0.1366399823685051,0.0,0.1926827070982169,86989.69543924995,98539.76382112503,51709.73850188318,0.09540604731511314,0.10206592485758148,0.04789074490935423,0.003587266029191545,0.0024835143703967333,0.005037178634782831,16644.596786833856,14402.8857421875,8783.403942216706
16,0.0,0.0,0.0,0.0,0.0,0.0,0.001245959051724138,0.0,0.010542560504148939,9.49010579937304e-05,0.0,0.0014893713138701536,0.038125120728133614,0.029236286878585815,0.032699767702761576,4.2153002700088164e-07,0.0,3.7454209056581947e-06,3.288532125538793e-08,0.0,5.356096462890304e-07,0.0030147781621863287,0.003029874060302973,0.0002847736932801522,0.0030147781621863287,0.003029874060302973,0.0002847736932801522,0.003034632000488267,0.0030518043786287308,0.0002815349031526734,0.005337835581488557,0.005264362785965204,0.00044609872774721516,4.2153002700088164e-07,0.0,3.7454209056581947e-06,3.288532125538793e-08,0.0,5.356096462890304e-07,0.005422220615010276,0.0,0.02475265626444431,0.0016333814885549037,0.0,0.02065331837133849,0.006857602970914033,0.0,0.03306774361746218,0.0019714225048555476,0.0,0.024912301615614918,5423.220615010277,1.0,24752.656264444307,0.006422169263680553,0.001,0.024752403443576116,0.0009980125562214879,0.000964784063398838,0.00015856500529635984,12644.896104770767,12708.212890625,1194.4274408197155
17,5.510384012539185e-05,0.0,0.0003500367159396647,0.0,0.0,0.0,0.1527784580721003,0.115234375,0.13091582358534257,0.010714635579937305,0.0029296875,0.021150372713707503,0.22989462443326708,0.21532005071640015,0.09276872630264282,0.0005472386518615914,0.000247955322265625,0.000891431686094321,6.484387436630584e-06,7.152557373046875e-07,1.5260170265190103e-05,0.004981197845949835,0.004714843351393938,0.0013977790202024823,0.004981197845949835,0.004714843351393938,0.0013977790202024823,0.003303841330829225,0.003219653619453311,0.00042006635544474,0.029282924069564637,0.03002975508570671,0.013121466009092165,0.0005472386518615914,0.000247955322265625,0.000891431686094321,6.484387436630584e-06,7.152557373046875e-07,1.5260170265190103e-05,0.09883134830801464,0.09965110570192337,0.014426050953552361,0.13247736928791837,0.2088916301727295,0.11388984164300152,0.14138624002006733,0.1413656771183014,0.03072840311181848,0.15675549274514836,0.21403448283672333,0.14169810352615866,90811.32734987231,98899.93978834152,29408.232882356177,0.09977417277179154,0.10061676491200365,0.014406731445710494,0.005646380034861444,0.005570690147578716,0.0024203556100254827,20892.658050058777,19775.486328125,5862.710135551352
18,0.0012008045160658307,0.0,0.004852523967127832,1.0714635579937304e-05,0.0,7.409891410205006e-05,0.2885757494122257,0.181640625,0.27711009488293215,0.05202414772727273,0.0087890625,0.09640821328266129,0.30939872068320884,0.24737925827503204,0.22794933554471247,0.0022566124189610016,0.0003402233123779297,0.005368779374496852,6.26487791725087e-05,2.86102294921875e-06,0.00022436037090791612,0.006258919262137486,0.005532452836632729,0.0026200721358249006,0.006258919262137486,0.005532452836632729,0.0026200721358249006,0.003659343075439287,0.0034943160135298967,0.0006005794777546381,0.0378934131544025,0.03343251720070839,0.024319550811714174,0.0022566124189610016,0.0003402233123779297,0.005368779374496852,6.26487791725087e-05,2.86102294921875e-06,0.00022436037090791612,0.09671121548429178,0.10053615272045135,0.03563689270493518,0.15752297429642334,0.21816866099834442,0.1318918924695962,0.15044256066173595,0.1423056423664093,0.08185671165279756,0.22177719266437065,0.2393224984407425,0.21312182675863797,59868.770206564135,89813.7630352974,54562.635025795236,0.09746308785646847,0.1013901432221503,0.03554878258617313,0.007603178561853426,0.006538961548358202,0.0050981407798757995,26251.810096860307,23204.7890625,10989.379039578924
19,7.653311128526645e-06,0.0,5.748650555389744e-05,0.0,0.0,0.0,0.06409495003918496,0.03125,0.08523129534902259,0.015879089929467086,0.0029296875,0.031488419315236146,0.29439431810780753,0.23530937731266022,0.2315919035686991,0.00021966796683667221,3.123283386230469e-05,0.0006532482468576665,2.795102827974995e-05,1.1920928955078125e-06,0.00012951239318710535,0.003094614004617014,0.0030420043040066957,0.0002896863063204502,0.003094614004617014,0.0030420043040066957,0.0002896863063204502,0.0029612069257584674,0.002960250247269869,0.00010863493904387188,0.00726482522057889,0.00509651331230998,0.0060957170029584656,0.00021966796683667221,3.123283386230469e-05,0.0006532482468576665,2.795102827974995e-05,1.1920928955078125e-06,0.00012951239318710535,0.09728171115852075,0.11268538981676102,0.053036599323668554,0.1497740589993127,0.21922636032104492,0.13391107923407783,0.1663230770387246,0.17392845451831818,0.11163618167551201,0.20916991225417506,0.23392844200134277,0.20381165689235223,93947.14886445702,111923.30880260468,54184.72823508184,0.09825101098668414,0.11367823417355737,0.053010637237303794,0.002130928523050253,0.001361481030471623,0.0020137037712280987,12979.75189802116,12759.0908203125,1215.0324333450897
